Rank,Avg,Pos,Name,Team,Age,DanM,Joe C,Ken K,Richard C,Rob W,Ryan M,Value,Follow
1,1.17,RB1,Jeremiyah Love,Notre Dame,20,1,1,1,2,1,1,,
2,2.83,QB1,Fernando Mendoza,Indiana,22,3,5,2,1,4,2,,
3,3.17,WR1,Carnell Tate,Ohio State,21,2,4,3,5,2,3,,
4,4.00,WR2,Jordyn Tyson,Arizona State,21,4,3,4,3,6,4,,
5,4.17,WR3,Makai Lemon,USC,21,6,2,5,4,3,5,,
6,6.67,WR4,KC Concepcion,Texas A&M,21,8,6,6,6,5,9,,
7,7.83,TE1,Kenyon Sadiq,Oregon,21,5,8,7,14,7,6,,
8,8.50,WR5,Omar Cooper Jr,Indiana,22,12,7,8,9,8,7,,
9,10.50,WR6,Denzel Boston,Washington,22,7,11,10,18,9,8,,
10,11.17,RB2,Jadarian Price,Notre Dame,22,13,14,9,11,10,10,,
11,14.00,QB2,Ty Simpson,Alabama,23,23,9,11,10,14,17,,
12,14.00,TE2,Eli Stowers,Vanderbilt,23,17,10,15,12,19,11,,
13,14.17,WR7,Elijah Sarratt,Indiana,22,11,16,14,8,18,18,,
14,14.67,RB3,Jonah Coleman,Washington,22,15,12,12,7,20,22,,
15,15.17,WR8,Chris Brazzell II,Tennessee,22,9,25,13,15,15,14,,
16,15.33,WR9,Chris Bell,Louisville,21,21,13,18,16,11,13,,
17,15.83,WR10,Germie Bernard,Alabama,22,10,15,16,29,13,12,,
18,17.33,RB4,Mike Washington Jr,Arkansas,22,14,24,17,22,12,15,,
19,20.17,RB5,Emmett Johnson,Nebraska,22,25,18,19,13,21,25,,
20,21.17,WR11,Antonio Williams,Clemson,21,24,22,20,24,16,21,,
21,21.17,WR12,Bryce Lance,North Dakota State,24,18,21,21,26,25,16,,
22,21.33,TE3,Max Klare,Ohio State,22,22,17,22,20,23,24,,
23,21.33,WR13,Ted Hurst,Georgia State,21,19,23,24,17,22,23,,
24,24.50,WR14,Skyler Bell,Connecticut,23,26,27,27,23,24,20,,
25,26.17,WR15,Malachi Fields,Notre Dame,23,31,28,23,31,17,27,,
26,27.17,RB6,Nicholas Singleton,Penn State,22,27,19,25,25,41,26,,
27,27.83,WR16,Zachariah Branch,Georgia,22,16,43,29,30,30,19,,
28,28.67,QB3,Garrett Nussmeier,LSU,24,41,20,28,19,31,33,,
29,29.83,WR17,Ja'Kobi Lane,USC,21,20,38,26,39,28,28,,
30,30.33,RB7,Demond Claiborne,Wake Forest,22,28,40,31,21,27,35,,
31,32.50,RB8,Kaytron Allen,Penn State,23,30,36,30,35,33,31,,
32,32.67,TE4,Michael Trigg,Baylor,23,29,26,33,33,38,37,,
33,34.67,WR18,Brenen Thompson,Mississippi State,22,35,33,34,42,34,30,,
34,38.00,RB9,Seth McGowan,Kentucky,25,34,46,32,36,46,34,,
35,38.00,RB10,Adam Randall,Clemson,21,44,34,37,41,29,43,,
36,38.67,WR19,Eric McAlister,TCU,23,37,37,38,44,40,36,,
37,38.83,WR20,Deion Burks,Oklahoma,23,32,-,36,-,35,32,,
38,39.33,QB4,Taylen Green,Arkansas,23,47,39,35,27,39,-,,
39,40.00,WR21,Josh Cameron,Baylor,23,45,29,39,-,36,42,,
40,41.33,TE5,Justin Joly,North Carolina State,21,-,41,41,28,-,40,,
41,41.67,TE6,Oscar Delp,Georgia,-,-,35,42,-,26,-,,
42,42.33,RB11,Eli Heidenreich,Navy,22,-,32,44,43,45,41,,
43,43.00,QB5,Drew Allar,Penn State,22,-,48,40,32,42,47,,
44,43.00,QB6,Cole Payton,North Dakota State,23,38,45,43,34,-,-,,
45,44.00,WR22,Kevin Coleman Jr,Missouri,22,42,44,45,40,-,44,,
46,44.67,WR23,De'Zhaun Stribling,Mississippi,23,-,-,-,-,43,29,,
47,44.67,TE7,Eli Raridon,Notre Dame,22,-,30,47,-,44,-,,
48,45.50,TE8,Jack Endries,Texas,22,40,-,48,48,-,39,,
49,45.50,TE9,Sam Roush,Stanford,-,-,31,-,46,-,-,,
50,45.83,WR24,Aaron Anderson,LSU,23,33,-,46,-,-,-,,
51,46.17,WR25,Jeff Caldwell,Cincinnati,25,-,-,-,-,32,-,,
52,46.67,RB12,Jam Miller,Alabama,21,39,-,-,-,-,45,,
53,46.67,RB13,J'Mari Taylor,Virginia,24,-,-,-,38,-,46,,
54,46.83,WR26,Jordan Hudson,SMU,22,36,-,-,-,-,-,,
55,46.83,RB14,Kaelon Black,Indiana,-,-,-,-,37,48,-,,
56,47.00,RB15,Le'Veon Moss,Texas A&M,23,-,-,-,-,37,-,,
57,47.17,WR27,CJ Daniels,Miami (Florida),24,-,-,-,-,-,38,,
58,47.33,WR28,Cyrus Allen,Cincinnati,-,48,42,-,-,47,-,,
59,48.00,RB16,Jaydn Ott,Oklahoma,23,43,-,-,-,-,-,,
60,48.17,QB7,Carson Beck,Miami (Florida),23,-,47,-,47,-,48,,
61,48.33,RB17,Roman Hemby,Indiana,23,-,-,-,45,-,-,,
62,48.50,WR29,Eric Rivers,Georgia Tech,23,46,-,-,-,-,-,,
