Rank,Avg,Pos,Name,Team,Age,JasonK,Justin T,Value,Follow
1,1.50,DE (DL1),Arvell Reese,Ohio State,20,1,2,,
2,1.50,LB1,Sonny Styles,Ohio State,21,2,1,,
3,3.00,DE (DL2),David Bailey,Texas Tech,-,3,3,,
4,5.00,S (DB1),Caleb Downs,Ohio State,21,5,5,,
5,5.00,LB2,Jacob Rodriguez,Texas Tech,23,4,6,,
6,5.50,DE (DL3),Rueben Bain Jr,Miami (Florida),21,7,4,,
7,7.00,LB3,Jake Golday,Cincinnati,22,6,8,,
8,9.00,S (DB2),Dillon Thieneman,Oregon,21,8,10,,
9,10.00,S (DB3),Emmanuel McNeil-Warren,Toledo,-,9,11,,
10,11.00,LB4,Anthony Hill Jr,Texas,21,13,9,,
11,11.00,LB5,CJ Allen,Georgia,21,15,7,,
12,13.00,DE (DL4),Akheem Mesidor,Miami (Florida),24,14,12,,
13,13.50,LB6,Kyle Louis,Pittsburgh,21,11,16,,
14,15.50,S (DB4),AJ Haulcy,LSU,22,10,21,,
15,17.00,DE (DL5),Zion Young,Missouri,21,20,14,,
16,17.50,DE (DL6),Cashius Howell,Texas A&M,-,16,19,,
17,18.50,DE (DL7),Keldric Faulk,Auburn,20,19,18,,
18,19.00,LB7,Keyshaun Elliott,Arizona State,22,12,-,,
19,19.50,DT (DL8),Peter Woods,Clemson,21,17,22,,
20,19.50,LB8,Josiah Trotter,Missouri,20,-,13,,
21,20.50,DT (DL9),Caleb Banks,Florida,22,18,23,,
22,20.50,DE (DL10),Gabe Jacas,Illinois,21,-,15,,
23,21.50,DE (DL11),TJ Parker,Clemson,21,-,17,,
24,22.50,S (DB5),Jalon Kilgore,South Carolina,21,25,20,,
25,23.50,DE (DL12),Derrick Moore,Michigan,23,21,-,,
26,24.00,DE (DL13),Malachi Lawrence,UCF,-,22,-,,
27,24.50,S (DB6),Treydan Stukes,Arizona,-,23,-,,
28,25.00,DT (DL14),Lee Hunter,Texas Tech,23,-,24,,
29,25.00,LB9,Bryce Boettcher,Oregon,23,24,-,,
30,25.50,S (DB7),Zakee Wheatley,Penn State,24,-,25,,
