Rank,Avg,Pos,Name,Team,Age,DanM,Joe C,Richard C,Rob W,Ryan M,Value,Follow
1,1.20,RB1,Jeremiyah Love,Notre Dame,20,1,1,2,1,1,,
2,3.20,WR1,Carnell Tate,Ohio State,21,2,4,5,2,3,,
3,3.20,QB1,Fernando Mendoza,Indiana,22,3,5,1,5,2,,
4,3.40,WR2,Jordyn Tyson,Arizona State,21,4,3,3,3,4,,
5,4.20,WR3,Makai Lemon,USC,21,6,2,4,4,5,,
6,7.20,TE1,Kenyon Sadiq,Oregon,21,5,6,12,7,6,,
7,7.80,WR4,KC Concepcion,Texas A&M,21,8,7,6,9,9,,
8,9.80,WR5,Denzel Boston,Washington,22,7,12,14,8,8,,
9,10.60,WR6,Omar Cooper Jr,Indiana,22,12,8,20,6,7,,
10,11.80,WR7,Chris Brazzell II,Tennessee,22,9,16,13,11,10,,
11,12.20,RB2,Jadarian Price,Notre Dame,22,13,15,10,10,13,,
12,12.60,WR8,Elijah Sarratt,Indiana,22,11,11,9,16,16,,
13,14.80,RB3,Jonah Coleman,Washington,22,15,10,7,22,20,,
14,15.00,QB2,Ty Simpson,Alabama,23,28,9,11,12,15,,
15,16.40,TE2,Eli Stowers,Vanderbilt,22,18,13,18,19,14,,
16,16.60,WR9,Chris Bell,Louisville,21,21,14,15,14,19,,
17,16.80,WR10,Germie Bernard,Alabama,22,10,18,31,13,12,,
18,17.20,RB4,Mike Washington Jr,Arkansas,22,14,23,23,15,11,,
19,21.00,RB5,Emmett Johnson,Nebraska,22,24,29,8,23,21,,
20,22.40,WR11,Antonio Williams,Clemson,21,23,27,27,18,17,,
21,22.80,TE3,Max Klare,Ohio State,22,22,22,21,25,24,,
22,23.80,WR12,Ted Hurst,Georgia State,21,17,35,19,17,31,,
23,24.20,WR13,Ja'Kobi Lane,USC,21,19,32,32,20,18,,
24,25.20,RB6,Nicholas Singleton,Penn State,22,26,17,16,40,27,,
25,26.00,WR14,Bryce Lance,North Dakota State,24,20,20,44,24,22,,
26,26.20,WR15,Zachariah Branch,Georgia,21,16,33,29,27,26,,
27,26.60,WR16,Malachi Fields,Notre Dame,23,31,26,25,28,23,,
28,28.60,RB7,Kaytron Allen,Penn State,23,30,30,22,33,28,,
29,28.60,QB3,Garrett Nussmeier,LSU,24,42,19,17,30,35,,
30,29.00,TE4,Michael Trigg,Baylor,23,29,25,30,31,30,,
31,29.20,WR17,Skyler Bell,Connecticut,23,25,-,26,21,25,,
32,33.40,RB8,Demond Claiborne,Wake Forest,22,27,38,34,36,32,,
33,34.60,WR18,Brenen Thompson,Mississippi State,22,38,28,45,29,33,,
34,35.60,WR19,Eric McAlister,TCU,23,36,31,35,38,38,,
35,36.20,WR20,Deion Burks,Oklahoma,23,33,44,-,26,29,,
36,37.80,WR21,Josh Cameron,Baylor,22,46,21,42,41,39,,
37,39.60,WR22,Kevin Coleman Jr,Missouri,22,43,39,43,32,41,,
38,39.80,RB9,Adam Randall,Clemson,21,45,24,47,43,40,,
39,41.20,RB10,Seth McGowan,Kentucky,25,35,-,40,48,34,,
40,41.20,TE5,Justin Joly,North Carolina State,21,-,-,24,35,-,,
41,41.60,QB4,Taylen Green,Arkansas,23,-,37,39,34,-,,
42,42.40,QB5,Cole Payton,North Dakota State,23,37,40,-,37,-,,
43,44.00,RB11,J'Mari Taylor,Virginia,23,-,41,37,-,44,,
44,44.80,WR23,Jordan Hudson,SMU,22,34,-,-,-,43,,
45,44.80,QB6,Cade Klubnik,Clemson,22,-,-,28,-,-,,
46,44.80,QB7,Drew Allar,Penn State,21,-,43,36,-,47,,
47,45.00,WR24,Aaron Anderson,LSU,23,32,-,-,-,46,,
48,45.20,TE6,Jack Endries,Texas,21,41,-,41,46,-,,
49,45.40,TE7,Tanner Koziol,Wisconsin,21,-,34,46,-,-,,
50,45.60,RB12,Jam Miller,Alabama,21,39,-,-,-,42,,
51,45.60,RB13,Eli Heidenreich,Navy,22,-,45,-,-,36,,
52,45.80,WR25,CJ Daniels,Miami (Florida),24,-,-,-,45,37,,
53,45.80,RB14,Kaelon Black,Indiana,-,-,-,33,-,-,,
54,46.20,WR26,Cyrus Allen,Cincinnati,-,48,36,-,-,-,,
55,46.80,RB15,Roman Hemby,Indiana,23,-,-,38,-,-,,
56,47.00,WR27,Jeff Caldwell,Cincinnati,25,-,-,-,39,-,,
57,47.20,RB16,Le'Veon Moss,Texas A&M,23,40,-,-,-,-,,
58,47.40,RB17,Jaydn Ott,Oklahoma,23,44,46,-,-,-,,
59,47.40,QB8,Carson Beck,Miami (Florida),23,-,42,-,-,48,,
60,47.60,WR28,Eric Rivers,Georgia Tech,23,47,-,-,44,-,,
61,47.60,TE8,Josh Cuevas,Alabama,22,-,-,-,42,-,,
62,48.20,WR29,De'Zhaun Stribling,Mississippi,23,-,-,-,-,45,,
63,48.60,TE9,RJ Maryland,SMU,21,-,47,-,-,-,,
64,48.60,WR30,Reggie Virgil,Texas Tech,-,-,-,-,47,-,,
65,48.80,TE10,Eli Raridon,Notre Dame,22,-,48,-,-,-,,
66,48.80,RB18,Robert Henry, Jr.,UTSA,-,-,-,48,-,-,,
