Rank,Avg,Pos,Name,Team,Age,DanM,Joe C,Ken K,Richard C,Rob W,Ryan M,Value,Follow
1,1.17,RB1,Jeremiyah Love,Notre Dame,20,1,1,1,2,1,1,,
2,3.00,QB1,Fernando Mendoza,Indiana,22,3,5,2,1,5,2,,
3,3.50,WR1,Carnell Tate,Ohio State,21,2,4,5,5,2,3,,
4,3.50,WR2,Jordyn Tyson,Arizona State,21,4,3,4,3,3,4,,
5,4.00,WR3,Makai Lemon,USC,21,6,2,3,4,4,5,,
6,7.00,TE1,Kenyon Sadiq,Oregon,21,5,6,6,12,7,6,,
7,8.00,WR4,KC Concepcion,Texas A&M,21,8,7,9,6,9,9,,
8,9.17,WR5,Denzel Boston,Washington,22,7,11,7,14,8,8,,
9,10.50,WR6,Omar Cooper Jr,Indiana,22,12,8,10,20,6,7,,
10,11.17,RB2,Jadarian Price,Notre Dame,22,13,13,8,10,10,13,,
11,12.33,WR7,Chris Brazzell II,Tennessee,22,9,16,15,13,11,10,,
12,13.00,WR8,Elijah Sarratt,Indiana,22,11,15,11,9,16,16,,
13,14.67,RB3,Jonah Coleman,Washington,22,15,10,14,7,22,20,,
14,15.33,QB2,Ty Simpson,Alabama,23,28,9,17,11,12,15,,
15,16.33,WR9,Germie Bernard,Alabama,22,10,14,18,31,13,12,,
16,17.17,WR10,Chris Bell,Louisville,21,21,18,16,15,14,19,,
17,17.50,RB4,Mike Washington Jr,Arkansas,22,14,23,19,23,15,11,,
18,17.83,TE2,Eli Stowers,Vanderbilt,22,18,12,26,18,19,14,,
19,18.00,RB5,Emmett Johnson,Nebraska,22,24,19,13,8,23,21,,
20,22.17,WR11,Antonio Williams,Clemson,21,23,27,21,27,18,17,,
21,23.00,WR12,Ted Hurst,Georgia State,21,17,26,28,19,17,31,,
22,23.17,TE3,Max Klare,Ohio State,22,22,22,25,21,25,24,,
23,24.50,WR13,Ja'Kobi Lane,USC,21,19,35,23,32,20,18,,
24,24.50,WR14,Malachi Fields,Notre Dame,23,31,28,12,25,28,23,,
25,24.67,RB6,Nicholas Singleton,Penn State,22,26,17,22,16,40,27,,
26,25.67,WR15,Skyler Bell,Connecticut,23,25,25,32,26,21,25,,
27,26.33,WR16,Bryce Lance,North Dakota State,24,20,21,27,44,24,22,,
28,27.17,WR17,Zachariah Branch,Georgia,21,16,41,24,29,27,26,,
29,27.67,RB7,Kaytron Allen,Penn State,23,30,33,20,22,33,28,,
30,29.17,QB3,Garrett Nussmeier,LSU,24,42,20,31,17,30,35,,
31,29.67,TE4,Michael Trigg,Baylor,23,29,24,34,30,31,30,,
32,32.67,RB8,Demond Claiborne,Wake Forest,22,27,38,29,34,36,32,,
33,34.33,WR18,Brenen Thompson,Mississippi State,22,38,31,30,45,29,33,,
34,37.00,WR19,Deion Burks,Oklahoma,23,33,-,36,-,26,29,,
35,38.33,WR20,Eric McAlister,TCU,23,36,34,-,35,38,38,,
36,38.83,TE5,Justin Joly,North Carolina State,21,-,39,37,24,35,-,,
37,39.00,RB9,Seth McGowan,Kentucky,25,35,44,33,40,48,34,,
38,39.50,WR21,Josh Cameron,Baylor,23,46,30,39,42,41,39,,
39,41.00,WR22,Kevin Coleman Jr,Missouri,22,43,42,45,43,32,41,,
40,41.00,QB4,Taylen Green,Arkansas,23,-,37,38,39,34,-,,
41,42.17,RB10,Adam Randall,Clemson,21,45,32,46,47,43,40,,
42,43.50,TE6,Jack Endries,Texas,21,41,-,35,41,46,-,,
43,44.00,QB5,Cole Payton,North Dakota State,23,37,43,-,-,37,-,,
44,44.17,QB6,Cade Klubnik,Clemson,22,-,-,41,28,-,-,,
45,44.17,WR23,Aaron Anderson,LSU,23,32,-,40,-,-,46,,
46,44.67,RB11,Eli Heidenreich,Navy,22,-,36,-,-,-,36,,
47,45.00,QB7,Drew Allar,Penn State,22,-,46,43,36,-,47,,
48,45.00,RB12,J'Mari Taylor,Virginia,24,-,-,42,37,-,44,,
49,45.50,WR24,Jordan Hudson,SMU,22,34,-,-,-,-,43,,
50,45.67,TE7,Sam Roush,Stanford,-,-,29,-,-,-,-,,
51,45.83,RB13,Jam Miller,Alabama,21,39,-,47,-,-,42,,
52,46.33,WR25,CJ Daniels,Miami (Florida),24,-,-,-,-,45,37,,
53,46.33,RB14,Kaelon Black,Indiana,-,-,-,-,33,-,-,,
54,47.17,RB15,Roman Hemby,Indiana,23,-,-,-,38,-,-,,
55,47.33,WR26,Cyrus Allen,Cincinnati,-,48,40,-,-,-,-,,
56,47.33,WR27,Jeff Caldwell,Cincinnati,25,-,-,-,-,39,-,,
57,47.50,WR28,De'Zhaun Stribling,Mississippi,23,-,-,44,-,-,45,,
58,47.50,RB16,Le'Veon Moss,Texas A&M,23,40,-,-,-,-,-,,
59,47.67,WR29,Eric Rivers,Georgia Tech,23,47,-,48,-,44,-,,
60,47.83,RB17,Jaydn Ott,Oklahoma,23,44,47,-,-,-,-,,
61,47.83,TE8,Josh Cuevas,Alabama,22,-,-,-,-,42,-,,
62,48.17,QB8,Carson Beck,Miami (Florida),23,-,45,-,-,-,48,,
63,48.50,TE9,Tanner Koziol,Wisconsin,21,-,-,-,46,-,-,,
64,48.67,WR30,Reggie Virgil,Texas Tech,-,-,-,-,-,47,-,,
65,48.83,TE10,Eli Raridon,Notre Dame,22,-,48,-,-,-,-,,
66,48.83,RB18,Robert Henry, Jr.,UTSA,-,-,-,-,48,-,-,,
